Description,Price
"There's a used 2017 Toyota Tarago GLI V6 in white available. It's a 6-cylinder, 3.5 L engine, front-wheel drive, and has 229,500 km on the odometer.",39990
"I am looking at a used 2013 Nissan Pulsar ST. This grey hatchback features a black interior, automatic transmission, 1.8 L, 4 cyl engine, and has covered 137220 km.",11999
"There is a used 2017 Mazda CX-3 SUV in black, featuring a 2L 4-cylinder engine, automatic transmission, and a leather interior. It's done 81645 kilometers.",22990
"I am looking at a used 2005 Holden Commodore S. It's an automatic with a 3.6 L, 6 cyl engine, rear drive, and has done 143242 kilometers.",12500
"There is a used 2008 Land Rover Range Rover Sport in black, featuring a diesel engine, automatic transmission, and a diesel engine. It's done 244263 kilometers, and has traveled 244263 km.",19888
"I have a 2021 Volkswagen T-Cross 85TSI Style, used. It's an automatic with a 1 L, 3 cyl engine, and has clocked 32749 km.",32880
"I have a 2016 Mazda CX-5 Maxx Sport, grey exterior, 2.5L 4 cyl engine, automatic, with 87985 km on the odometer.",23950
"I am looking at a used 2010 Mazda CX-7 Classic, grey with a grey interior. It's a 4-cylinder, 2.5L engine, front-wheel drive, and has 110309 km on the odometer.",10995
"I have a 2012 BMW X1 Sdrive 18I, a sleek grey SUV. It's an automatic with a 2L 4-cylinder engine, rear drive, and has 145738 km on the odometer.",15990
"I am looking at a used 2017 Ford Ranger FX4 Special Edition, white with grey interior. It features a 3.2L 4-cylinder diesel engine, automatic, and has traveled 84305 km.",44990
"I have a 2019 Volkswagen Tiguan Allspace 16,2 TSI Highline, white with a black interior. It's an automatic with a 2L engine, AWD, and has 41673 km on the odometer.",51999
"I have a 2014 Hyundai I20 Active, a hatchback in silver with an automatic transmission. It's an automatic with a 1.4 L, 4 cyl engine, and has clocked 65801 km.",12990
"I have a 2018 Toyota Camry SL, grey with grey interior. It's an automatic with a 2.5 L, 4 cyl engine, and has clocked 92568 km.",29950
"There's a used 2015 Volvo V40 D4 hatchback, brown exterior and interior, 4 cyl 2L diesel engine, automatic, with 115267 km on it.",27990
"I have a 2018 Mitsubishi Triton GLX Plus, a white 2018 Mitsubishi Triton GLX Plus, used. It's a diesel with an automatic transmission, 2.4 L, 4 cyl engine, and 174382 km on the clock.",25990
"I have a 2016 Mazda 6 Atenza, a sleek silver interior. It's an automatic with a 2.5 L, 4 cyl engine, and has 112940 km on the odometer.",24990
"I am looking at a used 2013 Hyundai I30 Active 1.6 Crdi. It features a 1.6 L, 4 cyl diesel engine, automatic, and has covered 79702 km.",12950
"I have a 2010 Toyota Kluger Grande, a black SUV with an automatic transmission. It's a front-wheel drive with just 100520 km on the odometer.",25705
"I have a 2022 Skoda Superb Style, grey exterior, black interior, 2L 4 cyl engine, front-wheel drive, automatic, 6930 km - a used gem.",44990
"2010 Mitsubishi Lancer ES Sportback, blue, with a black interior, used. It's a hatchback with an automatic transmission, 2 L, 4 cyl engine, and 215316 km on the clock.",8880
"There is a used 2012 Toyota Camry Altise in grey, featuring a black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has done 185863 km.",13980
"I am looking at a 2011 Toyota Corolla Ascent Sport, a white hatchback, automatic, 1.8 L engine, with 169001 kilometers on the odometer.",11999
"I have a 2019 Kia Cerato GT, a sleek hatchback. It's an automatic with a 1.6 L, 4 cyl engine, and has 24950 km on the odometer.",29990
"There's a used 2018 BMW X3 X3 SUV in black available. It's equipped with an automatic gearbox, a 2-liter 4-cylinder engine, and has traveled 75000 km.",56988
"A 2022 Volvo XC60 Ultimate AWD, red with perforated leather, 4 cyl 2L engine, automatic, AWD, 1015 km, SUV, 5 seats.",99990
"I have a 2012 Volvo XC60 D5 R-Design, white exterior, black interior. It's a 5-door SUV with a 2.4L diesel engine, automatic, and AWD. It's clocked 157633 km.",19705
"I am selling a 2013 Volkswagen Golf 90 TSI, a black hatchback with automatic transmission, 1.4 L, 4 cyl engine, and 90429 km on the clock.",13990
"I have a 2005 BMW X5 3.0I, grey SUV with a 3 L, 4-cylinder engine, automatic, and 147501 km on the odometer.",9999
"There's a used 2016 Ford Mustang Fastback GT 5.0 V8 in grey available. It's an automatic with a 5 L, 8 cyl engine, rear drive, and has done 61360 km.",45990
"I am looking at a 2002 Toyota Corolla Conquest Seca. Blue hatchback, black interior, automatic, 1.8 L, 4 cyl engine, with 248291 kilometers.",8490
"I have a 2014 Ford Ranger XL 2.2L diesel engine, rear drive, automatic, with a mileage of 4 cyl 2.2L diesel engine, and 5 doors.",25777
"I am looking at a used 2013 Mazda CX-5 Maxx SUV, blue with a grey interior. It's got a 2.5L engine, automatic transmission, and has covered 123101 km.",18999
"I have a 2011 Mazda 3 SP25 hatchback, grey exterior and grey interior. It's an automatic with a 2.5 L, 4 cyl engine, and has 130708 km on the odometer.",14499
"I am looking at a used 2005 Toyota Hilux SR5. It's a diesel vehicle with a 3 L, 4-cylinder engine, automatic, and has covered 258195 km.",21000
"There's a used 2016 Lexus IS300H Sedan in silver available. It's a 4-door sedan with an automatic transmission, 2.5 L, 4 cyl engine, and has covered 5 seats.",44900
"I have a 2023 Audi RS 3 2.5 Tfsi S Tronic, used. It's an automatic with a AWD, 5 cyl engine, and has clocked 1755 km.",122950
"I have a 2016 Volkswagen Jetta 1B 118TSI Comfortline Sedan, silver. It's an automatic with a 1.4-liter, 4-cylinder engine, and has clocked 109474 km.",15990
"I am looking at a 2020 Toyota Yaris Ascent Sport, a white hatchback, automatic, 1.5L 3 cyl engine, with 5 doors, 5 seats.",21990
"I am looking at a 2014 Volkswagen Amarok TDI400, white, diesel, automatic, rear-wheel drive, 2L 4 cyl engine, white with 309234 km.",10999
"I have a 2011 Ford Falcon XR6 Limited Edition, red with a black interior. It's an automatic with a 4 L, 4 cyl engine, rear drive, and has 110058 km on the odometer.",18999
"Check out this white 2015 Toyota Corolla Ascent Sport, a sleek hatchback. It features an automatic transmission, 1.8-liter, 4-cylinder engine, and only 107822 km.",19950
"I have a 2008 Nissan Dualis TI, a white crossover with 2L engine, automatic, and AWD. It's a 4-seater SUV with 155586 kilometers.",6995
"I am looking at a 2010 Nissan Elgrand Highway Star. It's a black SUV with an automatic transmission and a black interior, with 113470 km on the odometer.",24990
"I am looking at a used 2011 Holden Cruze CD. It features a 1.8 L, 4 cyl engine, automatic, and has covered 159822 km.",7750
"I have a 2013 Mazda CX-5 Maxx, a grey SUV with an automatic transmission. It's a front-wheel drive with 86381 km on the odometer.",22990
"I am looking at a used 2010 Toyota Estima G Edition, white with a black interior. It's an automatic with 89789 km, and has traveled 89789 km.",19888
"Check out this 2018 Toyota Corolla Ascent Sport, a sleek hatchback. It features an automatic transmission, 1.8-liter, 4-cylinder engine, and 55,676 km.",23990
"I have a 2022 Audi Q5 40 TDI Quattro Mhev, white with a black interior. It's an automatic with a 2L 4-cylinder engine, AWD, and has 8270 km on the odometer.",69418
"I have a 2017 Subaru XV 2.0I-S SUV, sleek in black. It's an automatic with a black interior, and has clocked 13789 km.",36880
"I am looking at a used blacktown MG 2023 MG ZST. It's a used model, with a 1.3L 3-cylinder engine, front-wheel drive, and has clocked only 15 kilometers.",34690
"I have a 2008 Volkswagen Golf GTI, a hatchback in black with a black interior. It's an automatic with a 2 L, 4 cyl engine, and has 142858 km on the odometer.",11950
"It's a 2018 Ford Escape Trend, black with a black interior, 1.5L 4 cyl engine, front-wheel drive, automatic, with 60362 km on it.",26490
"I am looking at a 2009 Toyota Estima Don Frost, silver, used. It comes with an automatic gearbox and has traveled 123276 km. Engine details are not specified.",18000
"I am looking at a used 2013 Ford Territory TS (4X4). It features a 2.7L diesel engine, automatic, and AWD. It's clocked 277953 km.",10888
"I have a 2004 Mazda 3 NEO, a sleek green exterior. It's an automatic with a 2-liter, 4-cylinder engine, and has 16,1876 km on the odometer.",7990
"2009 Toyota HiAce GL is white, automatic, used. It's a used model, with 158935 km, it's an automatic, with a grey interior, and has 158935 km.",34900
"I am looking at a 2012 Volkswagen Crafter TDI 330, white, used. It comes with an automatic gearbox and has traveled 8033 km. Engine details are not specified.",32990
"I am looking at a used 2016 Toyota Camry Altise. Silver with a black interior, 2.5L 4 cyl engine, front-wheel drive, automatic, and 63077 km driven.",23990
"I have a 2016 Audi Q5 2.0 TDI Quattro, white with a black interior. It's an automatic with a 2L diesel engine, AWD, and has 92939 km on the odometer.",32990
"I have a 2014 Fiat Panda Easy, white hatchback with a 0.9 L engine, automatic, and 75631 km on the odometer. i am looking at a used model, with 75631 kilometers.",8990
"I have a 2018 Mazda 3 Maxx, a grey hatchback with automatic transmission, 2 L, 4 cyl engine, and 45193 km on the odometer.",24990
"I have a 2018 Kia Sorento GT-Line, a white SUV with black interior. It's an automatic with a 2.2L diesel engine, AWD, and has clocked 7 seats.",41999
"I have a 2017 Toyota Hilux Ute / Tray, white with grey interior. It's a 4-cylinder, 2.4 L diesel, automatic, with 106034 km.",44888
"It's a 2023 Skoda RS 180TSI DEMO, 4 cyl 2L engine, front-wheel drive, automatic, in white with a mileage of 4 cyl.",55490
"I have a 2017 Land Rover Discovery Sport TD4 180 SE, white with a diesel 2L engine, automatic, and AWD. It's a 4-seater SUV with 118977 kilometers.",33999
"I am looking at a white 2018 Toyota Hilux Ute. It's a used model, with a 2.7 L, 4 cyl engine, rear drive, and has covered 93839 km.",26990
"I have a 2011 Mazda 3 NEO, a black 2011 Mazda 3 NEO, used. It's an automatic with a 2-liter, 4-cylinder engine, and has 154492 km on the odometer.",11990
"I have a 2015 Renault Kangoo 1.6 SWB commercial vehicle, with a white interior. It's an automatic with a 1.6 L, 4 cyl engine, and has clocked 95243 km.",19950
"I have a 2020 Jeep Gladiator Overland, brown with a black interior. It's an automatic with a 3.6 L, 6 cyl engine, and has 55,676 km.",68888
"A 2018 Mitsubishi ASX ES Adas is available, white with a black interior. This 4-door SUV features an automatic gearbox, a 2-liter 4-cylinder engine, and has 68580 km.",24999
"I have a 2008 Toyota Tarago GLI, white with a black interior. It's an automatic with a 2.4 L, 4 cyl engine, and has clocked 306337 km.",6990
"I am looking at a 2011 Jeep Wrangler Unlimited Sport, a black SUV with a 3.8L engine, automatic, and 71000 km on the odometer.",31999
"I have a 2020 Toyota RAV4 GX, a grey SUV with a black interior. It's an automatic with a 2L engine, and has clocked 124031 km.",31999
"I have a 2013 Mitsubishi ASX Aspire, a sleek silver exterior. It's an automatic with a black interior, 2L 4 cyl engine, and has clocked 126201 km.",21880
"I have a 2014 Mercedes-Benz ML400, a white SUV with black interior. It's an automatic with a 3 L, 6 cyl engine, and has 78062 km on the odometer.",41950
"I am looking at a 2009 Volkswagen Golf 90 TSI Trendline. Silver hatchback, black interior, automatic, 1.4 L, 4 cyl engine, with 5 doors, 5 seats.",6999
"It's a 2017 Mitsubishi Triton GLS, grey with grey interior, used. Features include an automatic transmission, 2.4 L, 4 cyl engine, and 159901 km on the clock.",34990
"I am looking at a used 2005 Mazda B2500 Bravo DX, white, diesel. It features a 2.5L 4-cylinder engine, automatic, and has covered 251,741 km.",8990
"I am looking at a used 2020 Mitsubishi Outlander ES 7 seater, 2.4L engine, automatic, and AWD. It's clocked 55,676 km.",28900
"I have a 2023 Volkswagen T-ROC 140TSI R-Line, a used model with a black interior. It's an automatic with a 2L engine, and has a black interior, and has clocked 5 seats.",58915
"I am looking at a 2021 Mitsubishi Mirage ES, a white hatchback with automatic transmission, 1.2-liter engine, and 39999 km on the odometer.",17850
"I have a 2023 Volkswagen T-Cross 85TSI DSG FWD, white with black interior, used. It's an automatic, front-wheel drive, and has a black interior.",35990
"I have a 2019 Suzuki Vitara Turbo, a white 2019 SUV with leather interior. It's an automatic with a 1.4 L, 4 cyl engine, and has 80950 km on the odometer.",24999
"I am looking at a 2006 Toyota Camry Sedan, white, 2.4 L 4-cyl engine, automatic, with 177268 km, a used luxury sedan with a mileage of 5 cyl engine.",9990
"I have a 2012 Toyota Camry Altise, white with a black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has clocked 208330 km.",12999
"I have a 2015 Toyota Hilux Exclusive Autohaus, white with grey interior. It's a used model, with a 12-liter, 4-cylinder engine, and has clocked 129032 km.",18999
"I have a 2023 Volkswagen T-Cross 85TSI DSG FWD, white with black interior, used. It's an automatic, front-wheel drive, and has a black interior.",36990
"I have a 2016 BMW 118I Sportline, 118I Sportline, blue hatchback, automatic, 1.5L 3 cyl engine, rear drive, with 123567 kilometers on it.",16999
"I am looking at a 2012 Holden Cruze SRI V, a grey hatchback with black interior. It's an automatic with a 1.4 L, 4 cyl engine, and has clocked 202500 km.",8888
"I have a 2022 Toyota RAV4 GXL, red with a red interior. It's a 4-cylinder, 2.5L engine, rear-wheel drive, and has clocked 6988 km.",59888
"I have a 2019 Toyota C-HR (2WD) crossover, red with black interior, used. It's an automatic with a 1.2L engine, and has clocked 82259 km.",30990
"I am looking at a used 2012 Toyota Hilux SR, white, diesel. It features a 3 L, 4-cylinder engine, automatic, and has covered 387774 km.",16490
"I am looking at a white 2015 Daihatsu Hijet, used. It comes with an automatic gearbox and has traveled 7403 km. Engine details are not specified.",26888
"I am looking at a used 2001 Toyota Hilux Ute / Tray. It features a 2 L, 4 cyl engine, automatic, rear drive, and has 392793 km.",4750
"I have a 2018 Volkswagen Tiguan 132 TSI Comfortline, a red SUV with an automatic transmission, 2L engine, and AWD. It's a 4-cylinder SUV with 5 seats, 5 seats.",29990
"It's a 2003 Nissan Pulsar ST-L Sedan, white with grey interior, equipped with a 1.8 L, 4 cyl engine and automatic transmission, front-wheel drive, and 247081 km on the odometer.",4990
"I am looking at a used 2010 Mitsubishi Outlander Activ SUV, grey with a black interior. It's got a 2.4L engine, automatic transmission, and has covered 216368 km.",9400
"I have a 2022 Volkswagen Tiguan Allspace 132TSI Life DEMO, white with a grey interior. It's a 4-cylinder, 2L engine, automatic, with 7 seats.",47990
"I am looking at a used 2004 Holden Commodore Berlina. It features a 3.8 L, 6 cyl engine, rear drive, and has covered 142301 km.",5950
"I have a 2022 BMW X3 X3 X3 M Sport, 2L 4 cyl, automatic, AWD, and 5950 km on the odometer.",94990
"I have a 2013 Ford Territory Titanium, a silver SUV with grey interior. It's an automatic with a 2.7 L, 6 cyl engine, rear drive, and has clocked 7 seats.",15748
"I have a 2015 Audi Q7 3.0 TDI Quattro, a white 2015 Audi Q7 3.0 TDI Quattro SUV, with a black interior. 3 L diesel engine, automatic, AWD, and 103772 km on the odometer.",41950
"I am looking at a used 2017 Holden Captiva SUV, red with a black interior. It's got a 2.2L diesel engine, automatic transmission, AWD, and has covered 138851 km.",16995
"I have a 2017 Mitsubishi Pajero Sport Exceed, a black 2017 Mitsubishi Pajero Sport Exceed, used. It's a 4-door SUV with an automatic transmission, 2.4L diesel, and 99473 km on the clock.",42990
"I have a 2022 Volkswagen Tiguan 110TSI Life DEMO, white with a grey interior. It's a 4-cylinder, 1.4 L engine, front-wheel drive, and has clocked only 21 kilometers.",42990
"I have a 2023 Mazda BT-50 XT, a used model, white with a black interior. It's an automatic with a 3 L, 4-cylinder engine, and has clocked 5 doors.",59888
"I am looking at a white 2018 Toyota HiAce LWB. It's a diesel vehicle with a 3 L, 4-cylinder engine, automatic, and 229,889 km.",34995
"It's a 2020 Toyota HiAce LWB GL Pack, white, diesel. Automatic transmission, 2.8 L, 4-cylinder engine, and it's done 229,717 kilometers.",62888
"I have a 2008 Mazda CX-7 Classic, a sleek silver exterior. It's an automatic with a 2.3L engine, AWD, and has clocked 190397 km.",9950
"There is a used 2016 Fiat 500X POP in white, featuring a 1.4L engine, automatic transmission, and a stylish black interior. It's done 31760 kilometers.",17999
"I am looking at a used 2008 Ford Territory SR2 (rwd) in gold. It features a 4 L, 6 cyl engine, automatic, rear drive, and has covered 237313 km.",7499
"There's a used 2017 Mercedes-Benz C63 S Coupe in the lot, white exterior, 4 L, 8 cyl engine, automatic, rear drive, with 74077 km on it.",117990
"I am looking at a 2009 Ford Ranger XLT, blue, used. It features a 3 L, 4-cylinder diesel engine, automatic, and has covered 190000 km.",17888
"I have a 2019 Mitsubishi ASX ES, a grey 2019 model. It's an automatic with a 2L engine, front-wheel drive, and has 47694 km on the odometer.",26990
"I am looking at a 2015 Porsche Cayenne Diesel, automatic, 3-liter engine, 6-cylinder, and 5-cylinder engine. It's done only 103496 kilometers, with 5 seats.",52800
"I am looking at a used 2020 Toyota RAV4 GX, silver SUV. It features a 2.5L 4-cylinder engine, automatic, and has covered 55,676 km.",45990
"There is a used 2015 Renault Megane GT-Line in blue, a sleek hatchback. It has an automatic transmission, 1.2L engine, and 88425 km on the odometer.",14300
"I am looking at a used 2009 Subaru Liberty 2.5I, grey exterior. It features a 2.5L 4-cylinder engine, automatic, and AWD. It's done 93914 kilometers.",11995
"I have a 2020 Volkswagen T-ROC 140TSI Sport, a sleek grey SUV. It's an automatic with a 2L engine, AWD, and has clocked 26100 km.",42990
"I have a 2016 Honda City VTI-LM, red with a red interior. It's an automatic with a 1.5 L, 4 cyl engine, and has 98865 km.",18990
"I am looking at a used 2016 Kia Sportage Platinum. It features a 2.4L 4-cylinder engine, automatic, and AWD. It's clocked 82489 km.",30498
"I am looking at a 2009 Toyota Corolla Ascent, a dependable hatchback. It's an automatic with a 1.8 L, 4 cyl engine, and has done 232000 kilometers.",6500
"I have a 2007 Volkswagen Passat 2.0T FSI, a sleek hatchback. It's an automatic with a 2 L, 4-cylinder engine, and has 134893 km on the odometer.",6990
"I am looking at a white 2015 Hyundai Iload Crew. It's a diesel with a 2.5L engine, automatic, and has covered 6 doors, 6 seats. I am looking at a used vehicle.",26950
"A 2018 Mercedes-Benz CLS53 4Matic+ is available, grey with black interior. This 4-door sedan features an automatic gearbox, 3 L, 6 cyl engine, and has clocked 13344 km.",114888
"I have a 2011 Land Rover Range Rover Vogue, white with a white interior. It's a 4-seater SUV with an automatic transmission, 5 L, 4WD, and has 177447 km.",54888
"I have a 2004 Mitsubishi Lancer Evolution VIII MR, used, grey with a black interior. It's an automatic, with 148735 km, and has clocked 148735 km.",43990
"I have a 2012 Toyota Corolla Ascent, a sleek silver exterior. It's an automatic with a 1.8 L, 4 cyl engine, and has clocked 112241 km.",14995
"I have a 2019 BMW 5 Series 530i Steptronic M Sport, grey exterior, Dakota black interior, used. It's an automatic, rear-wheel drive, and has 37128 km on the odometer.",66990
"I have a 2018 LDV T60 Luxe, grey exterior, black interior. It's a 4-cylinder, 2.8 L diesel, automatic, with 75657 km.",24900
"I am looking at a 2012 Nissan Micra ST, a black hatchback with grey interior. It's an automatic with a 1.2 L, 3 cyl engine, and has done 143246 km.",9990
"I have a 2004 Toyota Landcruiser Prado Grande, a black SUV with a black interior. It's an automatic with a 4 L, 6 cyl engine, and has 269101 km on the odometer.",19995
"A 2019 Land Rover Range Rover Evoque P200 R-Dynamic S in black, used. It boasts a black interior, 2L diesel engine, automatic transmission, AWD, and has covered 55,676 km.",64990
"I am looking at a used 2022 Toyota RAV4 GX, white with a black interior. It's got a 2L engine, automatic transmission, and has covered 9604 km.",45990
"I have a 2016 Mazda BT-50 XTR, a white 2016 Mazda BT-50 XTR, used. It's a diesel with an automatic transmission, 3.2L engine, and 75690 km on the clock.",39990
"I have a 2021 MG HS Core, used, with a sleek white exterior and black interior. It's an automatic, front-wheel drive, and has a 32775 km driven.",23888
"I am looking at a 2022 Toyota Corolla ZR Hybrid, white, 1.8 L 4-cyl engine, front-wheel drive, automatic, 5 doors, 5 seats.",46990
"I have a 2020 Subaru Liberty Sedan 2020, a sleek silver exterior. It's an automatic with a 2.5 L, 4 cyl engine, AWD, and has 55,5449 km.",26990
"I have a 2023 GWM Haval Jolion LUX Hybrid, grey with a black interior. It's an automatic with a 1.5L engine, front-wheel drive, and has clocked only 7 seats.",37485
"I have a 2013 Toyota Yaris YRS, a sleek hatchback. It's an automatic with a 1.5 L, 4 cyl engine, and has 101144 km on the odometer.",12990
"I have a 2013 Honda Civic VTI-L, a red hatchback with automatic transmission, 1.8-liter 4-cylinder engine, and 71855 kilometers on the meter.",17990
"It's a used 2022 MG HS Excite, black on black, 1.5L 4 cyl, front-wheel drive, automatic, SUV with 5 seats.",36490
"I have a 2018 Volkswagen Golf 110 TSI Comfortline, a hatchback in white with grey interior. It's an automatic with a 1.4 L, 4 cyl engine, and has 55,676 km.",28999
"I have a 2018 BMW X3 X3 Xdrive 30I, blue hatchback with leather interior. It's an automatic with a 2L, 4 cyl engine, and has 65591 km on the odometer.",46999
"There is a used 2011 Holden Barina hatchback in red, featuring an automatic gearbox, 1.6 L 4-cylinder engine, grey interior, and 131379 km on the odometer.",6995
"I am looking at a used 2013 Mazda CX-9 Luxury SUV. It features a 3.7L 6 cyl engine, automatic, and has covered 145911 km.",19990
"A white 2017 Ford Mondeo Titanium is available. It's a hatchback with an automatic transmission, a 2-liter 4-cylinder engine, and 61935 km on the clock.",25900
"I have a 2015 Mazda 3 SP25 GT hatchback, white exterior, 2.5L 4 cyl engine, front-wheel drive, automatic, with 260385 km on it.",13950
"I am looking at a 2009 Subaru Forester XT, a silver SUV with a black interior. It's got a 2.5L engine, automatic transmission, and has covered 190584 km.",13980
"I am looking at a used 2013 Mitsubishi Outlander Aspire, white, diesel. It features a 2.3L 4-cylinder engine, automatic, and has covered 179499 km.",16950
"I am looking at a used 2022 Volkswagen Passat 206TSI R-Line. It features an automatic transmission, 2L, 4-cylinder engine, and AWD. It's done 5 doors, 5 seats.",68990
"I am looking at a used 2009 Holden Captiva LX, silver SUV. It features a 2L 4-cylinder diesel engine, automatic, and has covered 254988 km.",6750
"I am looking at a 2010 Mercedes-Benz E250 CGI Avantgarde. Brown with a biege 4 cyl 1.8L engine, rear drive, automatic, with 88024 km.",22990
"I am looking at a used 2017 Mazda BT-50 XT, white, diesel. It features a 3.2L engine, automatic, and has covered 5 cyl engine, and has covered 5 seats.",24990
"I have a 2014 Hyundai I20 Active, a hatchback in white with an automatic transmission. It's an automatic with a 1.4 L, 4 cyl engine, and has 55,838 km.",14950
"I have a 2015 Hyundai Elantra Active, a black sedan with a 1.8 L engine, front-wheel drive, automatic, and 69544 km on the odometer.",19990
"I have a 2015 Renault Clio RS 200 Sport, white hatchback, black interior, automatic transmission, 1.6 L, 4 cyl engine, with 48300 km on it.",21780
"A 2008 Mitsubishi Lancer ES is available, grey with a black interior. This 4-door sedan features an automatic gearbox, a 2-liter 4-cylinder engine, and has 243975 km.",8990
"I have a 2020 Kia Carnival S Sported, a white 2020 Kia Carnival Sported. It's a diesel with an automatic transmission, 2.2L engine, and 50603 km on the clock.",38990
"I am looking at a 2019 Kia RIO S, a white hatchback with automatic transmission, 1.4 L, 4 cyl engine, and 55,676 km.",20990
"I have a 2006 Subaru Forester X Luxury, a sleek silver SUV. It's an automatic with a 2.5L engine, AWD, and has clocked 151046 km.",6995
"It's a 2005 Holden Commodore Lumina, black with a black interior, used. Features include an automatic transmission, 3.6 L, 6 cyl engine, and 186938 km on the clock.",7499
"I have a 2010 Mazda 6 Classic, a hatchback in black with a black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has clocked 105589 km.",14888
"I am looking at a 2012 Mazda 3 NEO, a red hatchback with automatic transmission, 2 L, 4-cylinder engine, grey interior, and 67639 km on the odometer.",19990
"I am looking at a used 2017 Toyota Tarago GLI. It features a 2.4 L, 4 cyl engine, automatic, and has covered 50083 km.",34990
"I am looking at a used 2019 Hyundai I30 Active. It's a hatchback with an automatic transmission, 2 L, 4 cyl engine, and 55,676 km.",24490
"I am looking at a 2009 Holden Commodore Omega, a blue hatchback with automatic transmission, 3.6 L, 6 cyl engine, rear drive, and 275950 km on the clock.",6490
"A 2017 Hyundai Tucson Alto Volkswagen Used Cars, white with a black interior, used. It's an automatic with a front-wheel drive and has logged 149585 km.",19880
"I am looking at a 2021 Mini 3D hatchback, white with a white interior. It's an automatic with a 0 L, 4 doors, 4 seats.",54990
"I have a 2013 Hyundai IX35 Active, white with a white interior. It's a 4-cylinder, 2L engine, front-wheel drive, and has clocked 149382 km.",12990
"There is a used 2016 Nissan Navara RX in silver, diesel-powered. It's an automatic with a 2.3L engine, 4 cyl engine, and has done 229,820 km.",17999
"I have a 2014 Hyundai I30 Tourer Active 1.6 Crdi, white with a white interior. It's an automatic with a 1.6 L, 4 cyl engine, and has 205697 km on the odometer.",12999
"I am looking at a black 2005 Mazda MX-5, a dependable convertible. It's an automatic with a 2 L, 4-cylinder engine, rear drive, and has 88506 km on the odometer.",19990
"I am looking at a used 2022 Volkswagen Tiguan Alto SUV, blue with a black interior. It's got a 1.4 L, 4 cyl engine, front-wheel drive, and has covered 13 km.",57990
"I have a 2018 Nissan X-Trail ST, a white SUV with a black interior. It's an automatic with a 2.5L engine, and has 89659 km on the odometer.",22990
"I have a 2018 Mazda BT-50 XT, a white 2018 Mazda BT-50 XT, used. It's a diesel with an automatic transmission, 3.2L engine, and 4 doors, 4 seats.",47990
"I have a 2022 MG ZS EV Essence DEMO, blue with a black interior. It's an automatic with a 0 L, 4 doors, 5 seats.",48688
"I am looking at a used 2018 Nissan Qashqai N-TEC SUV, grey with a leather interior. It's got a 2L 4-cylinder engine, automatic, and has covered 59800 km.",28999
"I am looking at a used 2010 Nissan Navara ST-X, red, diesel. It features a 2.5L 4-cylinder engine, automatic, and has covered 178000 km.",19888
"I am looking at a 2008 Mitsubishi Lancer VR-X, a gold model. It features a 2 L, 4-cylinder engine, automatic, and has covered 158449 km.",7995
"There is a used 2018 Land Rover Discovery SD4 SE in grey, featuring a black interior. Featuring a 2L diesel engine, automatic transmission, and a total of 74458 km.",64980
"I have a 2013 Volkswagen Golf 110 TDI Highline, a hatchback in silver with a black interior. It's an automatic with a 2 L, 4-cylinder engine, and has 120859 km on the odometer.",15880
"I have a 2022 Volkswagen Tiguan Allspace 132TSI Life DEMO, a used red SUV with a black interior. It's an automatic with a 2L engine, and has clocked 7 seats.",56990
"I have a 2001.0 360 Convertible, grey 2001 Ferrari 360 Spider, used. It's an automatic with a 3.6 L, 8 cyl engine, rear drive, and has 47381 km on the odometer.",219880
"I am looking at a 2004 Kia RIO, a white hatchback with black interior. It's an automatic with a 1.5 L, 4 cyl engine, and has done 15,4083 km.",5999
"A 2019 Audi A4 40 Tfsi S Tronic Sport is available, black with a black interior. It's an automatic with a 2 L, 4 cyl engine, and has 61451 km on the odometer.",38990
"There's a used 2015 Holden Calais V in white available. It's a 4-door sedan with an automatic transmission, 6 L, 4 cyl engine, and has covered 205263 km.",29950
"There is a used 2018 Toyota HiAce DX in blue, automatic gearbox. It's a used model with an efficient 112610 km - a used model.",33900
"I have a 2015 Volkswagen Passat 140 TDI Highline, a black 2015 Volkswagen Passat 140 TDI Highline. It's a front-wheel drive with an automatic transmission and a diesel 2L engine, having 158721 km.",15990
"I am looking at a 2012 Volkswagen Scirocco R. It's a hatchback with an automatic transmission, 2 L, 4 cyl engine, and 93772 km on the clock.",27990
"I have a 2019 Mazda CX-5 Maxx Sport, grey exterior, black interior, 2.5L 4 cyl engine, automatic, with 32289 km on the odometer.",35990
"It's a 2017 Mercedes-Benz GLA180 SUV, 4 cyl 1.6L engine, front-wheel drive, automatic, in blue with a black interior, and has clocked 76206 km.",32999
"I have a 2023 Volkswagen Passat Alltrack, a used black SUV with a black interior. It's a used model, with a 2L 4-cylinder engine, AWD, and has clocked 5 seats.",74990
"I have a 2018 Subaru Forester 2.5I-S, a used SUV with an automatic transmission. It's a 4-cylinder engine, 2.5L engine, and has 39812 kilometers on it.",36990
"I am looking at a 2009 Volkswagen Polo GTI, a black hatchback with automatic transmission, 1.8 L, 4 cyl engine, and 156491 km driven.",7999
"I am looking at a 2009 Toyota HiAce GL, black, used. It comes with an automatic gearbox and has traveled 16,275 km. Engine details are not specified.",30900
"I am looking at a used 2010 Toyota Hiace Slwb, white, diesel. It features a 3 L, 4-cylinder engine, automatic, and has covered 3 L, 4 cyl engine, 3 seats.",27999
